,title,addr,score
355,빕스 올림픽공원점,서울 송파구 올림픽로 424 올림픽공원 만남의광장 A-2 동2문,3.4
356,스시랑랑,서울 송파구 오금로 144,4.1
357,가야촌유황오리,서울 송파구 오금로 533,3.3
358,일일양 석촌호수점,서울 송파구 송파대로49길 52 나인파크 A동 107호,4.5
359,아그라 잠실롯데에비뉴엘점,서울 송파구 올림픽로 300 에비뉴엘 6층,2.8
360,라치오,서울 송파구 동남로4길 20,3.9
361,홍대칼국수와족발 방이먹자골목점,서울 송파구 오금로15길 16 1층,3.4
362,화포식당 잠실점,서울 송파구 백제고분로 187 잠실파크인수 107호,3.6
363,논현삼계탕 송파점,서울 송파구 백제고분로 409,2.7
364,더맛있는족발보쌈 가락점,서울 송파구 양재대로62길 41 1층,4.0
365,오키나와블루 잠실점,서울 송파구 오금로17길 7,4.6
366,역전식당 신천직영점,서울 송파구 백제고분로9길 27,3.9
367,브루클린더버거조인트 롯데월드몰점,서울 송파구 올림픽로 300 3층,4.0
368,생생아구,서울 송파구 백제고분로7길 8-37,3.4
369,맥도날드 잠실역점,서울 송파구 송파대로 558,2.5
370,좋은생고기정육점식당 2호점,서울 송파구 오금로13길 9 석정빌딩 1층,3.6
371,씨젬므쥬르,서울 송파구 백제고분로41길 25 1층,3.6
372,우아한갈비,서울 송파구 오금로36길 65 마루빌딩 1층,4.3
373,79대포 방이점,서울 송파구 올림픽로32길 36 1층,3.3
374,가락수산회센터,서울 송파구 양재대로 932 가락몰 회센터 1층,3.0
375,포유티,서울 송파구 위례성대로18길 28-13 1층,4.0
376,진성한우곱창 잠실방이점,서울 송파구 올림픽로32길 19 1층,3.0
377,르쉬드서울,서울 송파구 위례성대로12길 18 1층 2호,4.0
378,오동나무집24시감자국 방이점,"서울 송파구 오금로11길 55 현대주상복합빌딩 1층 102, 103호",3.0
379,칠프로칠백식당 방이직영점,서울 송파구 올림픽로32길 42 1층,4.8
380,옛촌매운갈비찜,서울 송파구 올림픽로32길 24,3.5
381,나레초밥 신천점,서울 송파구 백제고분로7길 54 1층,2.8
382,빈티지1981,서울 송파구 석촌호수로 194 태호빌딩 2층,3.9
383,나폴레옹제과점 잠실점,서울 송파구 백제고분로 67,3.5
384,셜록홈즈 잠실2호점,서울 송파구 백제고분로7길 31 4층,4.6
385,조개창고,서울 송파구 올림픽로10길 13-1 3층,3.0
386,우설화 송파문정역점,"서울 송파구 법원로4길 5 송파법조타운 푸르지오시티 1층 120~124호, 2층 217~224호",4.0
387,우사기식당,서울 송파구 백제고분로40길 27 1층,3.4
388,옥돌현옥,서울 송파구 오금로36길 26-1,4.4
389,부산밀면,서울 송파구 가락로 43,3.8
